used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,65.57,15526.7,14996.56084191367,14980.456994646629,-2092.120842,4.254517389862767, 
1,65.58,15540,14996.431138790838,14980.306190415995,-2078.691139,4.360427426389805, 
1,65.59,14446.7,14996.303536205103,14980.154778638707,-3171.863536,-4.572620838, 
1,65.6,15166.7,14996.178042080079,14980.00275833406,-2451.738042,1.3846332689985552, 
1,65.61,14326.7,14996.054678456914,14979.850128529388,-3291.614678,-5.592206755, 
1,65.62,15166.7,14995.933457764464,14979.696888260089,-2451.493458,1.3866192864276679, 
1,65.63,15170,14995.814403283504,14979.543036569661,-2448.074403,1.4142280610987235, 
1,65.64,15093.3,14995.697531133876,14979.38857250972,-2524.657531,0.7944538996812915, 
1,65.65,15246.7,14995.582868913036,14979.233495140035,-2371.142869,2.033707140916473, 
1,65.66,14933.3,14995.47043893301,14979.077803528533,-2684.430439,-0.508751894, 
1,65.67,15093.3,14995.36027107944,14978.921496751364,-2524.320271,0.7971990921806777, 
1,65.68,14653.3,14995.252389688134,14978.764573892882,-2964.21239,-2.824866462, 
1,65.69,14783.3,14995.146830041964,14978.607034045714,-2834.10683,-1.742353511, 
1,65.7,14850,14995.043623205547,14978.44887631076,-2767.303623,-1.190242389, 
1,65.71,15000,14994.942806515599,14978.290099797227,-2617.202807,0.041291812, 
1,65.72,14860,14994.844415386877,14978.130703622655,-2757.104415,-1.106174289, 
1,65.73,15276.7,14994.748491901288,14977.970686912944,-2340.308492,2.2811804806535587, 
1,65.74,15093.3,14994.655076463883,14977.810048802381,-2523.615076,0.8029391581735986, 
1,65.75,15063.3,14994.56421519738,14977.648788433668,-2553.524215,0.5600448821501993, 
1,65.76,15006.7,14994.475953927396,14977.486904957945,-2610.035954,0.099786635, 
1,65.77,14693.3,14994.390344392816,14977.32439753482,-2923.350344,-2.483917433, 
1,65.78,15066.7,14994.307437264451,14977.16126533238,-2549.867437,0.5897729920835805, 
1,65.79,14766.7,14994.227287359876,14976.997507527249,-2849.787287,-1.872370384, 
1,65.8,15133.3,14994.149953382208,14976.833123304588,-2483.109953,1.1311404557332099, 
1,65.81,14936.7,14994.07549447682,14976.668111858122,-2679.635494,-0.46946056, 
1,65.82,14920,14994.003977466196,14976.502472390179,-2696.263977,-0.605857726, 
1,65.83,15013.3,14993.935466186067,14976.336204111714,-2602.895466,0.15804070731390396, 
1,65.84,15186.7,14993.870030355014,14976.169306242324,-2429.43003,1.5647423101975695, 
1,65.85,14940,14993.807743690017,14976.001778010286,-2676.067744,-0.440219709, 
1,65.86,15093.3,14993.748682670503,14975.833618652568,-2522.708683,0.8103169232256883, 
1,65.87,15146.7,14993.692928160122,14975.664827414887,-2469.252928,1.2432328932126153, 
1,65.88,15376.7,14993.640562406365,14975.495403551691,-2239.200562,3.0891186968244124, 
1,65.89,14950,14993.591673884828,14975.325346326223,-2665.851674,-0.356519222, 
1,65.9,14733.3,14993.546351796667,14975.154655010514,-2882.506352,-2.144048643, 
1,65.91,15200,14993.504694389703,14974.983328885448,-2415.764694,1.6748980966466736, 
1,65.92,14963.3,14993.46679982269,14974.81136724075,-2652.4268,-0.246612764, 
1,65.93,14903.3,14993.432773089313,14974.638769375037,-2712.392773,-0.738314693, 
1,65.94,14793.3,14993.402721383469,14974.465534595825,-2822.362721,-1.645206675, 
1,65.95,14966.7,14993.37675901641,14974.291662219568,-2648.936759,-0.218057003, 
1,65.96,14876.7,14993.35500375173,14974.117151571692,-2738.915004,-0.956423128, 
1,65.97,14826.7,14993.337580292024,14973.94200198659,-2788.89758,-1.368518588, 
1,65.98,15016.7,14993.324617367865,14973.766212807677,-2598.884617,0.1907530436478186, 
1,65.99,14696.7,14993.316250616666,14973.58978,-2918.876251,-2.44672425, 
1,66,15006.7,14993.312618554677,14973.412713087282,-2608.872619,0.10928310794083752, 
1,66.01,14733.3,14993.313870605225,14973.23500127791,-2882.273871,-2.142133338, 
1,66.02,14946.7,14993.32015812124,14973.05665,-2668.880158,-0.381330096, 
1,66.03,15313.3,14993.33164272722,14972.877650659419,-2302.291643,2.585667259123438, 
1,66.04,14796.7,14993.348491239329,14972.698010637163,-2818.908491,-1.616620882, 
1,66.05,14743.3,14993.370880493714,14972.517726679454,-2872.33088,-2.059518853, 
1,66.06,14696.7,14993.398988684028,14972.336798202708,-2918.958989,-2.447406738, 
1,66.07,14503.3,14993.433013171178,14972.155224632588,-3112.393013,-4.06987003, 
1,66.08,14706.7,14993.473146552951,14971.973005404023,-2909.033147,-2.364726209, 
1,66.09,14660,14993.51960243683,14971.790139961227,-2955.779602,-2.75457359, 
1,66.1,14690,14993.572595121383,14971.606627757743,-2925.832595,-2.50467664, 
1,66.11,14670,14993.632356768996,14971.422468256436,-2945.892357,-2.672002616, 
1,66.12,14736.7,14993.699122328959,14971.237660929553,-2879.259122,-2.117051968, 
1,66.13,14810,14993.831971463043,14971.052205258726,-2806.091971,-1.510579252, 
1,66.14,14880,14993.913609318484,14970.866100734998,-2736.173609,-0.9338436, 
1,66.15,14713.3,14994.003037631108,14970.679346858868,-2902.963038,-2.314152991, 
1,66.16,14760,14994.100539032359,14970.491943140281,-2856.360539,-1.926900258, 
1,66.17,14853.3,14994.206420157241,14970.303889098692,-2763.16642,-1.156163634, 
1,66.18,14853.3,14994.320988461506,14970.11518426306,-2763.280988,-1.157103689, 
1,66.19,14793.3,14994.444577643422,14969.925828171885,-2823.404578,-1.653772619, 
1,66.2,14773.3,14994.57753027344,14969.735820373236,-2843.53753,-1.820533006, 
1,66.21,14853.3,14994.72021270129,14969.545160424765,-2763.680213,-1.160379399, 
1,66.22,15063.3,14994.87299956179,14969.353847893746,-2553.833,0.5575289713553738, 
1,66.23,15100,14995.036297078552,14969.161882357097,-2517.296297,0.8541825002735918, 
1,66.24,14783.3,14995.210518127074,14968.96926340138,-2834.170518,-1.742877319, 
1,66.25,14993.3,14995.396106275064,14968.77599062286,-2624.356106,-0.01711846, 
1,66.26,14946.7,14995.59352244179,14968.582063627513,-2671.153522,-0.399925105, 
1,66.27,14913.3,14995.80325380167,14968.38748203105,-2704.763254,-0.675591535, 
1,66.28,14840,14996.025814714392,14968.192245458937,-2778.285815,-1.280794661, 
1,66.29,14953.3,14996.261742089604,14967.996353546438,-2665.221742,-0.351328483, 
1,66.3,14703.3,14996.511604864276,14967.799805938617,-2915.471605,-2.418097153, 
1,66.31,14573.3,14996.775996592165,14967.602602290372,-3045.735997,-3.507921338, 
1,66.32,14930,14997.055552758573,14967.404742266468,-2689.315553,-0.548788299, 
1,66.33,14823.3,14997.350931455234,14967.206225541544,-2796.310931,-1.429564987, 
1,66.34,14743.3,14997.662842806261,14967.007051800143,-2876.622843,-2.09486634, 
1,66.35,15066.7,14997.992018875188,14966.807220736742,-2553.552019,0.5597551747964895, 
1,66.36,15210,14998.368670549147,14966.606732055778,-2410.628671,1.7159923726004256, 
1,66.37,14710,14998.73482235451,14966.405585471657,-2910.994822,-2.380635075, 
1,66.38,15303.3,14999.120723504207,14966.203780708789,-2318.080724,2.4588785393880754, 
1,66.39,15000,14999.527297597047,14966.001317501612,-2621.787298,0.003859599, 
1,66.4,14676.7,14999.955528181184,14965.798195594616,-2945.515528,-2.668282158, 
1,66.41,14816.7,15000.40644639876,14965.594414742356,-2805.966446,-1.50920645, 
1,66.42,14923.3,15000.881155742742,14965.389974709491,-2699.841156,-0.635073236, 
1,66.43,14800,15001.38081986028,14965.184875270792,-2823.64082,-1.655340142, 
1,66.44,14933.3,15001.906679005584,14964.979116211185,-2690.866679,-0.561420805, 
1,66.45,14700,15002.460048739078,14964.772697325756,-2924.720049,-2.494648437, 
1,66.46,14640,15003.042327056079,14964.565618419783,-2985.302327,-3.00045228, 
1,66.47,15013.3,15003.655002722044,14964.357879308754,-2612.615003,0.078716183, 
1,66.48,15220,15004.299660834542,14964.14947981841,-2406.559661,1.7484108857005296, 
1,66.49,14816.7,15004.977989547362,14963.94041978473,-2810.53799,-1.54676312, 
1,66.5,14890,15005.691787226862,14963.730699053995,-2737.951787,-0.948102259, 
1,66.51,15213.3,15006.442975842034,14963.520317482784,-2415.402976,1.6770984513501972, 
1,66.52,14950,15007.233612378917,14963.30927493801,-2679.493612,-0.468091292, 
1,66.53,14796.7,15008.065884210384,14963.097571296938,-2833.625884,-1.737610597, 
1,66.54,15206.7,15008.942147243406,14962.885206447201,-2424.502147,1.6036745931969312, 
1,66.55,15363.3,15009.864916572964,14962.67218028685,-2268.824917,2.8514607740174256, 
1,66.56,15273.3,15010.836885481292,14962.458492724341,-2359.796885,2.123742396124645, 
1,66.57,14736.7,15011.860948544545,14962.244143678587,-2897.420949,-2.266661545, 
1,66.58,15156.7,15012.940215891922,14962.029133078951,-2478.500216,1.1677102290055805, 
1,66.59,15163.3,15014.078029323138,14961.813460865305,-2473.038029,1.2118138377964471, 
1,66.6,14703.3,15015.27799268227,14961.597126988017,-2934.237993,-2.572862341, 
1,66.61,14966.7,15016.54398153123,14961.38013140801,-2672.103982,-0.4074269, 
1,66.62,14830,15017.880181917928,14961.16247409675,-2810.140182,-1.542802722, 
1,66.63,14673.3,15019.291108391593,14960.944155036283,-2968.251108,-2.856281714, 
1,66.64,14766.7,15020.781654213994,14960.725174219262,-2876.341654,-2.09089191, 
1,66.65,14880,15022.357111740781,14960.50553164897,-2764.617112,-1.167018397, 
1,66.66,15123.3,15024.023217726535,14960.285227339327,-2522.983218,0.8072804009205512, 
1,66.67,14623.3,15025.78619756519,14960.064261314925,-3024.746198,-3.328344694, 
1,66.68,15000,15027.652825292811,14959.842633611059,-2649.912825,-0.225784373, 
1,66.69,14816.7,15029.63047034074,14959.620344273715,-2835.19047,-1.749291032, 
1,66.7,14916.7,15031.727165986562,14959.397393359637,-2737.287166,-0.941811615, 
1,66.71,14640,15033.951677667956,14959.173780936313,-3016.211678,-3.255910182, 
1,66.72,14590,15036.313607597678,14958.949507082021,-3068.573608,-3.69498332, 
1,66.73,14570,15038.823443108578,14958.724571885825,-3091.083443,-3.884002888, 
1,66.74,14836.7,15041.492719199789,14958.498975447628,-2827.052719,-1.681302485, 
1,66.75,14910,15044.334087964682,14958.272717878164,-2756.594088,-1.100138617, 
1,66.76,15100,15047.361484048193,14958.045799299045,-2569.621484,0.4283661676842192, 
1,66.77,15330,15050.590278357495,14957.818219842764,-2342.850278,2.256682365765527, 
1,66.78,14646.7,15054.037445415684,14957.589979652725,-3029.597445,-3.365770056, 
1,66.79,15003.3,15057.721777253399,14957.361078883254,-2676.681777,-0.44430308, 
1,66.8,14836.7,15061.664131285452,14957.131517699656,-2847.224131,-1.846905273, 
1,66.81,14980,15065.88767562318,14956.901296278176,-2708.147676,-0.701737916, 
1,66.82,15023.3,15070.41823346528,14956.670414806074,-2669.378233,-0.384420315, 
1,66.83,14826.7,15075.28466059092,14956.438873481615,-2870.844661,-2.041512653, 
1,66.84,14963.3,15080.51922088892,14956.206672514112,-2739.479221,-0.958263925, 
1,66.85,14960,15086.15817089633,14955.973812123932,-2748.418171,-1.031453341, 
1,66.86,14853.3,15092.242355420529,14955.740292542507,-2861.202355,-1.96056689, 
1,66.87,14773.3,15098.81792,14955.506114012387,-2947.777923,-2.678157707, 
1,66.88,14536.7,15105.937250401781,14955.27127678724,-3191.49725,-4.721286967, 
1,66.89,14916.7,15113.660163555141,14955.035781131863,-2819.220164,-1.612657046, 
1,66.9,14526.7,15122.055317080323,14954.799627322227,-3217.615317,-4.939611042, 
1,66.91,14950,15131.202154757113,14954.56281564548,-2803.462155,-1.481981429, 
1,66.92,15243.3,15141.193567436481,14954.325346399972,-2520.153567,0.8270154146866499, 
1,66.93,14743.3,15152.139227388989,14954.087219895277,-3031.099227,-3.367093742, 
1,66.94,14993.3,15164.170295125228,14953.848436452216,-2793.130295,-1.395461805, 
1,66.95,15043.3,15177.445632340223,14953.60899640287,-2756.405632,-1.093717041, 
1,66.96,15016.7,15192.160245756866,14953.368900090607,-2797.720246,-1.431830077, 
1,66.97,15343.3,15208.556017357781,14953.128147870097,-2487.516017,1.087802347, 
1,66.98,14993.3,15226.935648142804,14952.88674010734,-2855.895648,-1.908053258, 
1,66.99,15436.7,15247.679864630214,14952.644677179664,-2433.239865,1.5213559516491584, 
1,67,14753.3,15271.267790375106,14952.401959475788,-3140.22779,-4.264402284, 
1,67.01,14790,15298.299862134469,14952.15858739579,-3130.559862,-4.179611399, 
1,67.02,14593.3,15329.522580490318,14951.91456135117,-3358.48258,-6.094419967, 
1,67.03,14846.7,15365.852096106715,14951.669881764836,-3141.412096,-4.26068714, 
1,67.04,14853.3,15408.394348134336,14951.424549071151,-3177.354348,-4.554653352, 
1,67.05,15103.3,15458.45751390822,14951.17856371594,-2977.417514,-2.88991509, 
1,67.06,14756.7,15517.552460008254,14950.931926156502,-3383.11246,-6.263337654, 
1,67.07,14660,15587.37659537687,14950.684636861648,-3549.636595,-7.659301159, 
1,67.08,14986.7,15669.777445367106,14950.436696311705,-3305.337445,-5.579778237, 
1,67.09,14986.7,15766.690400336014,14950.188104998533,-3402.2504,-6.37142024, 
1,67.1,14983.3,15880.048977211069,14949.93886342557,-3519.008977,-7.326004016, 
1,67.11,15050,16011.65941185676,14949.688972107813,-3583.919412,-7.838862317, 
1,67.12,15146.7,16163.027978971395,14949.438431571862,-3638.587979,-8.257999833, 
1,67.13,14703.3,16335.11752723494,14949.18724235594,-4254.077527,-13.45749367, 
1,67.14,14756.7,16527.99186,14948.935405009901,-4393.551864,-14.5812751, 
1,67.15,14870,16740.289106955053,14948.682920095252,-4492.549107,-15.33745354, 
1,67.16,14930,16968.467061924308,14948.429788185178,-4660.727062,-16.68298635, 
1,67.17,15000,17205.823561250276,14948.176009864539,-4828.083561,-18.01047396, 
1,67.18,14896.7,17441.486941256648,14947.921585729926,-5167.046941,-20.85001595, 
1,67.19,14763.3,17659.920711929866,14947.666516389641,-5518.880712,-23.83965188, 
1,67.2,15150,17841.859837528333,14947.410802463746,-5314.119838,-21.86986622, 
1,67.21,15003.3,17967.537514781838,14947.154444584052,-5586.497515,-24.20023608, 
1,67.22,15210,18021.953908922173,14946.897443394177,-5434.213909,-22.80045905, 
1,67.23,15076.7,18000.083279103583,14946.639799549506,-5545.643279,-23.80853166, 
1,67.24,14816.7,17908.985947699453,14946.381513717275,-5714.545948,-25.40410523, 
1,67.25,15126.7,17765.405175796677,14946.122586576534,-5260.965176,-21.45451849, 
1,67.26,14910,17590.45988515549,14945.863018818205,-5302.719885,-21.95181785, 
1,67.27,15063.3,17404.455425906817,14945.602811145072,-4963.415426,-19.07524761, 
1,67.28,15106.7,17223.810354794296,14945.341964271807,-4739.370355,-17.22497871, 
1,67.29,15266.7,17060.211411833396,14945.080478924998,-4415.771412,-14.51548524, 
1,67.3,15136.7,16921.11504004199,14944.818355843146,-4406.67504,-14.50374893, 
1,67.31,14793.3,16810.682746615923,14944.555595776714,-4639.642747,-16.58653884, 
1,67.32,15026.7,16730.621733843782,14944.292199488107,-4326.181734,-13.90009711, 
1,67.33,14886.7,16680.733718596934,14944.028167751712,-4416.293719,-14.70386081, 
1,67.34,14743.3,16659.144093132923,14943.76350135391,-4538.104093,-15.7783946, 
1,67.35,14756.7,16662.244533473284,14943.498201093094,-4527.804533,-15.68644311, 
1,67.36,14756.7,16684.42318736029,14943.232267779687,-4549.983187,-15.86901779, 
1,67.37,15426.7,16717.75087042725,14942.96570223615,-3913.31087,-10.39457741, 
1,67.38,15100,16751.961202623617,14942.698505297021,-4274.221203,-13.44346961, 
1,67.39,15073.3,16775.218914750487,14942.430677808894,-4324.178915,-13.86228085, 
1,67.4,15193.3,16776.045292869487,14942.162220630473,-4205.005293,-12.84058985, 
1,67.41,14556.7,16746.094498568666,14941.89313463257,-4811.654499,-18.14648678, 
1,67.42,14846.7,16682.560128462297,14941.623420698124,-4458.120128,-15.06692489, 
1,67.43,14820,16588.75481748418,14941.353079722225,-4391.014817,-14.52926129, 
1,67.44,14906.7,16472.478384231425,14941.082112612108,-4188.038384,-12.8244733, 
1,67.45,14743.3,16343.23602020255,14940.810520287196,-4222.19602,-13.17665772, 
1,67.46,14876.7,16209.808918649882,14940.5383,-3955.368919,-10.92980293, 
1,67.47,14520,16078.968125576064,14940.265463731643,-4181.228126,-12.93760619, 
1,67.48,14810,15955.243736027367,14939.992001400868,-3767.503736,-9.410666779, 
1,67.49,14626.7,15841.270467646953,14939.717917655064,-3836.830468,-10.04267805, 
1,67.5,14826.7,15738.293443904517,14939.443213474768,-3533.853444,-7.486501966, 
1,67.51,14843.3,15646.620707699623,14939.167889852786,-3425.580708,-6.593617193, 
1,67.52,14813.3,15565.958399221498,14938.891947794224,-3374.918399,-6.184035917, 
1,67.53,15246.7,15495.640619524776,14938.615388316473,-2871.20062,-2.016080358, 
1,67.54,14820,15434.784021754082,14938.338212449256,-3237.044022,-5.050082464, 
1,67.55,15320,15382.394737028033,14938.06042123462,-2684.654737,-0.504102181, 
1,67.56,14973.3,15337.444462381345,14937.782015726962,-2986.404462,-2.975876795, 
1,67.57,14830,15298.926039541226,14937.502996993037,-3091.18604,-3.850647593, 
1,67.58,15130,15265.892704055219,14937.223366111972,-2758.152704,-1.104782221, 
1,67.59,14416.7,15237.48412392186,14936.943124175308,-3443.044124,-6.835904972, 
1,67.6,14863.3,15212.941154716524,14936.66227228697,-2971.901155,-2.867906076, 
1,67.61,14593.3,15191.610232530553,14936.380811563315,-3220.570233,-4.952787274, 
1,67.62,14803.3,15172.941000959012,14936.098743133123,-2991.901001,-3.038091624, 
1,67.63,14770,15156.478179411462,14935.81606813765,-3008.738179,-3.18005573, 
1,67.64,14930,15141.850595970871,14935.532787730579,-2834.110596,-1.733803144, 
1,67.65,14836.7,15128.758599128152,14935.248903078109,-2914.318599,-2.397735869, 
1,67.66,15003.3,15116.961824543392,14934.96442,-2735.921825,-0.927942843, 
