used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,Axis-limits
1,23.18,20616.7,20529.64299646902,20522.35221449423,-2535.202996, , , 
1,23.19,20553.3,20521.61507006919,20514.301953280326,-2590.57507, , , 
1,23.2,20606.7,20513.61880537398,20506.283254112077,-2529.178805, , , 
1,23.21,20810,20505.65407273014,20498.295978991584,-2317.914073, , , 
1,23.22,20543.3,20497.720725767507,20490.33999037017,-2576.680726, , , 
1,23.23,20493.3,20489.818636922326,20482.415151147332,-2618.778637, , , 
1,23.24,20610,20481.94766,20474.52132466968,-2494.207663, , , 
1,23.25,20400,20474.10767,20466.658374729883,-2696.367675, , , 
1,23.26,20476.7,20466.29852999127,20458.82616556561,-2611.85853, , , 
1,23.27,20630,20458.520102238956,20451.024561858478,-2450.780102, , , 
1,23.28,20383.3,20450.77224925721,20443.253428732995,-2689.732249, , , 
1,23.29,20663.3,20443.054844718663,20435.51263175556,-2402.014845, , , 
1,23.3,20286.7,20435.367747716336,20427.80203693333,-2770.927748, , , 
1,23.31,20356.7,20427.710832803412,20420.121510713263,-2693.270833, , , 
1,23.32,20166.7,20420.08396090511,20412.47091998104,-2875.643961, , , 
1,23.33,20536.7,20412.487007451004,20404.850132059997,-2498.047007, , , 
1,23.34,20216.7,20404.919832094856,20397.259014710136,-2810.479832, , , 
1,23.35,20066.7,20397.382311615333,20389.69743612705,-2952.942312, , , 
1,23.36,20210,20389.874308682152,20382.165264940926,-2802.134309, , , 
1,23.37,20273.3,20382.39569855787,20374.662370215432,-2731.355699, , , 
1,23.38,20523.3,20374.946351215563,20367.18862144681,-2473.906351, , , 
1,23.39,20393.3,20367.526131337705,20359.74388856274,-2596.486131, , , 
1,23.4,20493.3,20360.134918580734,20352.32804192134,-2489.094919, , , 
1,23.41,20536.7,20352.772575149145,20344.94095231017,-2438.332575, , , 
1,23.42,20483.3,20345.43898,20337.58249094517,-2484.398982, , , 
1,23.43,20333.3,20338.134004203013,20330.25252946966,-2627.094004, , , 
1,23.44,20476.7,20330.85752087829,20322.95094,-2476.417521, , , 
1,23.45,20310,20323.609398832832,20315.677594891105,-2635.869399, , , 
1,23.46,20063.3,20316.38951790009,20308.432367202382,-2875.349518, , , 
1,23.47,20263.3,20309.19774593903,20301.215130229724,-2668.157746, , , 
1,23.48,20440,20302.03396434396,20294.025757738047,-2484.293964, , , 
1,23.49,20386.7,20294.898043009496,20286.864123913503,-2530.458043, , , 
1,23.5,20240,20287.789860356752,20279.730103362504,-2670.04986, , , 
1,23.51,20090,20280.70928878881,20272.62357111074,-2812.969289, , , 
1,23.52,20253.3,20273.65620875636,20265.54440260211,-2642.616209, , , 
1,23.53,20043.3,20266.63049278271,20258.49247369778,-2845.590493, , , 
1,23.54,20380,20259.63202215202,20251.467660675124,-2501.892022, , , 
1,23.55,20410,20252.660668788547,20244.469840226764,-2464.920669, , , 
1,23.56,19806.7,20245.716318143775,20237.49888945954,-3061.276318, , , 
1,23.57,20470,20238.798840346815,20230.554685893538,-2391.05884, , , 
1,23.58,19956.7,20231.908122866724,20223.63710746107,-2897.468123, , , 
1,23.59,20296.7,20225.04404,20216.746032505685,-2550.604036, , , 
